Season	Date Collected	Species	Plot	Sex	Weight (g)	Scale calibrated
2013	7/16/2013	DM	2	F	N/A	N/A
2013	7/16/2013	DM	7	M	33	Yes
2013	7/16/2013	DM	3	M	N/A	N/A
2013	7/16/2013	DM	1	M	N/A	N/A
2013	7/18/2013	DM	3	M	40	Yes
2013	7/18/2013	DM	7	M	48	Yes
2013	7/18/2013	DM	4	F	29	Yes
2013	7/18/2013	DM	6	F	37	Yes
2013	8/19/2013	DO	8	F	52	Yes
2013	10/17/2013	DO	3	F	33	Yes
2013	10/17/2013	DO	3	F	50	Yes
2013	12/10/2013	DO	9	F	40	Yes
2013	12/10/2013	DO	1	M	45	Yes
2013	12/11/2013	DO	8	F	41	Yes
2013	11/12/2013	DS	9	F	117	Yes
2013	11/13/2013	DS	11	F	126	Yes
2013	11/13/2013	DS	17	M	132	No
2013	11/13/2013	DS	14	F	113	No
2013	11/13/2013	DS	11	F	122	Yes
2013	11/13/2013	DS	4	F	107	Yes
2013	11/13/2013	DS	4	F	115	Yes
2014	1/9/2014	DM	N/A	M	40	Yes
2014	1/9/2014	DM	N/A	F	36	Yes
2014	3/13/2014	DM	N/A	F	51	Yes
2014	3/13/2014	DM	N/A	F	44	Yes
2014	3/13/2014	DS	N/A	F	146	Yes
2014	1/8/2014	NA	N/A	N/A	N/A	N/A
2014	1/8/2014	DM	N/A	M	44	Yes
2014	1/8/2014	PF	N/A	F	7	Yes
2014	1/8/2014	DM	N/A	M	45	Yes
2014	1/8/2014	OT	N/A	N/A	N/A	N/A
2014	1/8/2014	DS	N/A	M	157	No
2014	1/8/2014	OX	N/A	N/A	N/A	N/A
2014	2/18/2014	NA	N/A	M	218	No
2014	2/18/2014	PF	N/A	F	7	Yes
2014	2/18/2014	DM	N/A	M	52	Yes
2014	3/11	PF	N/A	M	8	Yes
2014	4/8	NA	N/A	F		N/A
2014	5/6	N/A	N/A	N/A	N/A	N/A
2014	5/18	NA	N/A	F	182	Yes
2014	6/9	OT	N/A	F	29	Yes
2014	7/8	NA	N/A	F	115	Yes
2014	7/8	NA	N/A	M	190	Yes
2014	1/8/1978	DM	N/A	F	37	Yes
2014	1/8/1978	DM	N/A	M	N/A	N/A
2014	1/8/1978	DM	N/A	F	48	Yes
2014	1/8/1978	DO	N/A	M	52	Yes
2014	1/8/1978	OL	N/A	M	35	Yes